Date,Close
2020-01-03,930.97
2020-01-06,932.92
2020-01-07,933.45
2020-01-08,937.81
2020-01-09,949.44
2020-01-10,965.48
2020-01-13,980.08
2020-01-14,974.32
2020-01-15,973.79
2020-01-16,960.54
2020-01-17,956.34
2020-01-20,956.92
2020-01-21,958.14
2020-01-22,967.78
2020-01-23,969.89
2020-01-24,970.30
2020-01-27,963.58
2020-01-28,961.14
2020-01-29,964.61
2020-01-30,975.26
2020-01-31,971.49
2020-02-03,959.85
2020-02-04,965.65
2020-02-05,970.87
2020-02-06,979.07
2020-02-07,978.16
2020-02-10,976.48
2020-02-11,978.51
2020-02-12,983.22
2020-02-13,977.45
2020-02-14,980.06
2020-02-17,978.70
2020-02-18,983.07
2020-02-19,983.96
2020-02-20,981.75
2020-02-21,979.57
2020-02-24,942.73
2020-02-25,921.03
2020-02-26,927.67
2020-02-27,929.42
2020-02-28,907.00
2020-03-02,893.68
2020-03-03,902.64
2020-03-04,911.47
2020-03-05,904.13
2020-03-06,882.14
2020-03-09,817.92
2020-03-10,843.94
2020-03-11,827.84
2020-03-12,753.70
2020-03-13,761.38
2020-03-16,725.41
2020-03-17,738.16
2020-03-18,724.65
2020-03-19,702.12
2020-03-20,714.54
2020-03-23,685.52
2020-03-24,706.27
2020-03-25,725.21
2020-03-26,726.98
2020-03-27,726.82
2020-03-30,723.11
2020-03-31,733.15
2020-04-01,727.00
2020-04-02,714.55
2020-04-03,716.62
2020-04-06,735.66
2020-04-07,780.64
2020-04-08,781.72
2020-04-09,800.99
2020-04-14,809.33
2020-04-15,792.20
2020-04-16,793.31
2020-04-17,804.46
2020-04-20,793.71
2020-04-21,777.51
2020-04-22,777.17
2020-04-23,777.37
2020-04-24,773.49
